Indicator Name,"Population, total"
1994,1191835000
1995,1204855000
1996,1217550000
1997,1230075000
1998,1241935000
1999,1252735000
2000,1262645000
2001,1271850000
2002,1280400000
2003,1288400000
2004,1296075000
2005,1303720000
2006,1311020000
2007,1317885000
2008,1324655000
2009,1331260000
2010,1337705000
2011,1345035000
2012,1354190000
2013,1363240000
2014,1371860000
2015,1379860000
2016,1387790000
2017,1396215000
2018,1402760000
